Time,Seq,DateTime,DeltaTime,CumulTime,Id,CimetrixGEM300Simulation_ModuleID,CimetrixGEM300Simulation_ProcessJobID,CimetrixGEM300Simulation_RCID,CimetrixGEM300Simulation_SubstrateID,CimetrixGEM300Simulation_StepCount,CimetrixGEM300Simulation_StepID
2022-11-24T08:16:36.506-07:00,104,2022-11-24 08:16:36.506,0.024,303.380,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,7,Step-6
2022-11-24T08:16:42.580-07:00,105,2022-11-24 08:16:42.580,6.074,309.454,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,7,Step-6
2022-11-24T08:16:42.602-07:00,106,2022-11-24 08:16:42.602,0.022,309.476,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,8,Step-7
2022-11-24T08:16:48.669-07:00,107,2022-11-24 08:16:48.669,6.067,315.543,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,8,Step-7
2022-11-24T08:16:48.691-07:00,108,2022-11-24 08:16:48.691,0.022,315.565,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,9,Step-8
2022-11-24T08:16:54.755-07:00,109,2022-11-24 08:16:54.755,6.064,321.629,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,9,Step-8
2022-11-24T08:16:54.780-07:00,110,2022-11-24 08:16:54.780,0.025,321.654,ModuleProcess:5:GeneralExecution-StepActive,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,10,Step-9
2022-11-24T08:17:00.848-07:00,111,2022-11-24 08:17:00.848,6.068,327.722,ModuleProcess:6:StepActive-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,10,Step-9
2022-11-24T08:17:00.873-07:00,112,2022-11-24 08:17:00.873,0.025,327.747,ModuleProcess:3:GeneralExecution-NotExecuting,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.17,,
2022-11-24T08:17:03.031-07:00,113,2022-11-24 08:17:03.031,2.158,329.905,ModuleProcess:2:NotExecuting-GeneralExecution,ProcessChamber1,LocalProcessJob0001,RecipeCARRIER1,CARRIER1.19,,
